rowid,kepid,kepoi_name,filename
587,9787239,K00952.01,lightcurve_1457_KIC9787239.csv
4264,11650401,K04566.01,lightcurve_1458_KIC11650401.csv
1162,11337141,K01649.01,lightcurve_1459_KIC11337141.csv
2994,8806123,K00523.01,lightcurve_145_KIC8806123.csv
3251,6381846,K00509.01,lightcurve_1460_KIC6381846.csv
2082,8081899,K02426.01,lightcurve_1461_KIC8081899.csv
5649,8832512,K01821.01,lightcurve_1462_KIC8832512.csv
1362,6949061,K01960.01,lightcurve_1467_KIC6949061.csv
2815,8751796,K03125.01,lightcurve_1469_KIC8751796.csv
1486,11450414,K01992.01,lightcurve_146_KIC11450414.csv
2304,10070468,K02628.01,lightcurve_1470_KIC10070468.csv
2235,3728701,K02536.01,lightcurve_1471_KIC3728701.csv
3611,7447200,K00676.01,lightcurve_1472_KIC7447200.csv
5133,7288444,K03482.01,lightcurve_1473_KIC7288444.csv
1809,12121570,K02290.01,lightcurve_1475_KIC12121570.csv
5312,4150804,K03678.01,lightcurve_1476_KIC4150804.csv
680,6448890,K01241.01,lightcurve_1478_KIC6448890.csv
1330,7955580,K01711.01,lightcurve_1479_KIC7955580.csv
2578,8892303,K02688.01,lightcurve_1483_KIC8892303.csv
10,10910878,K00757.01,lightcurve_1484_KIC10910878.csv
2580,5369827,K02690.01,lightcurve_1485_KIC5369827.csv
5151,3433668,K03415.01,lightcurve_1486_KIC3433668.csv
1288,7220429,K01700.01,lightcurve_1488_KIC7220429.csv
1890,4247991,K02311.01,lightcurve_1492_KIC4247991.csv
978,11497958,K01422.01,lightcurve_1494_KIC11497958.csv
1502,9411166,K01922.01,lightcurve_1495_KIC9411166.csv
1,10797460,K00752.01,lightcurve_1497_KIC10797460.csv
2860,5440317,K03141.01,lightcurve_1499_KIC5440317.csv
750,7287415,K01369.01,lightcurve_1500_KIC7287415.csv
1333,7898352,K01486.01,lightcurve_1502_KIC7898352.csv
2841,10337258,K00333.01,lightcurve_1503_KIC10337258.csv
3293,5444548,K00409.01,lightcurve_1504_KIC5444548.csv
2133,10468885,K02589.01,lightcurve_1505_KIC10468885.csv
1446,7273277,K01979.01,lightcurve_1506_KIC7273277.csv
4081,6752002,K04184.01,lightcurve_1507_KIC6752002.csv
3589,12068975,K00623.01,lightcurve_1508_KIC12068975.csv
4149,5340878,K04199.01,lightcurve_150_KIC5340878.csv
1517,4157325,K01860.01,lightcurve_1510_KIC4157325.csv
2841,10337258,K00333.01,lightcurve_1511_KIC10337258.csv
2330,5871985,K02703.01,lightcurve_1513_KIC5871985.csv
1070,5219234,K01563.01,lightcurve_1515_KIC5219234.csv
1310,7703955,K01707.01,lightcurve_1516_KIC7703955.csv
3516,4832837,K00605.01,lightcurve_1518_KIC4832837.csv
1307,7386827,K01704.01,lightcurve_1519_KIC7386827.csv
1979,6105462,K02098.01,lightcurve_151_KIC6105462.csv
1790,8973129,K02286.01,lightcurve_1522_KIC8973129.csv
965,10874614,K00017.01,lightcurve_1523_KIC10874614.csv
629,10468940,K01163.01,lightcurve_1525_KIC10468940.csv
2623,3545135,K02755.01,lightcurve_1526_KIC3545135.csv
377,5956342,K01052.01,lightcurve_1527_KIC5956342.csv
734,11037335,K01435.01,lightcurve_1529_KIC11037335.csv
612,9823457,K00954.01,lightcurve_1530_KIC9823457.csv
3358,8344004,K00573.01,lightcurve_1531_KIC8344004.csv
1236,5301750,K01589.01,lightcurve_1532_KIC5301750.csv
2120,8547429,K02658.01,lightcurve_1533_KIC8547429.csv
2029,3122913,K02490.01,lightcurve_1534_KIC3122913.csv
1486,11450414,K01992.01,lightcurve_1541_KIC11450414.csv
2952,11521793,K00352.01,lightcurve_1542_KIC11521793.csv
2634,9693006,K02913.01,lightcurve_1543_KIC9693006.csv
3813,4673628,K04056.01,lightcurve_1545_KIC4673628.csv
3268,5351250,K00408.01,lightcurve_1547_KIC5351250.csv
38,11138155,K00760.01,lightcurve_1548_KIC11138155.csv
2883,10878263,K00341.01,lightcurve_154_KIC10878263.csv
3472,9002278,K00701.01,lightcurve_1552_KIC9002278.csv
3100,11709124,K00435.01,lightcurve_1554_KIC11709124.csv
251,8505670,K00912.01,lightcurve_1555_KIC8505670.csv
3495,6062088,K00658.01,lightcurve_1556_KIC6062088.csv
1941,6696580,K02092.01,lightcurve_1557_KIC6696580.csv
5647,5195172,K01671.01,lightcurve_1561_KIC5195172.csv
4264,11650401,K04566.01,lightcurve_1563_KIC11650401.csv
302,9347899,K00935.01,lightcurve_1565_KIC9347899.csv
2808,3831053,K00388.01,lightcurve_1566_KIC3831053.csv
2685,6609270,K03090.01,lightcurve_1567_KIC6609270.csv
2060,8890150,K02650.01,lightcurve_1568_KIC8890150.csv
3316,5683743,K00412.01,lightcurve_156_KIC5683743.csv
3084,3239945,K00490.01,lightcurve_1570_KIC3239945.csv
3237,6501635,K00560.01,lightcurve_1571_KIC6501635.csv
1374,11601584,K01831.01,lightcurve_1574_KIC11601584.csv
3611,7447200,K00676.01,lightcurve_1575_KIC7447200.csv
4087,10407482,K04255.01,lightcurve_1578_KIC10407482.csv
4877,11455428,K03365.01,lightcurve_1579_KIC11455428.csv
2476,12314973,K00279.01,lightcurve_157_KIC12314973.csv
241,7870390,K00898.01,lightcurve_1581_KIC7870390.csv
4635,4271474,K03324.01,lightcurve_1584_KIC4271474.csv
1984,11410904,K02171.01,lightcurve_1585_KIC11410904.csv
2504,6528464,K00270.01,lightcurve_1586_KIC6528464.csv
3007,6850504,K00070.04,lightcurve_1589_KIC6850504.csv
1215,11954842,K01530.01,lightcurve_158_KIC11954842.csv
1881,8892157,K02224.01,lightcurve_1590_KIC8892157.csv
1424,7289577,K01974.01,lightcurve_1591_KIC7289577.csv
2705,11618601,K03022.01,lightcurve_1592_KIC11618601.csv
3616,10002866,K00723.01,lightcurve_1594_KIC10002866.csv
3211,5709725,K00555.01,lightcurve_1595_KIC5709725.csv
248,7938496,K00900.01,lightcurve_1596_KIC7938496.csv
2084,8478994,K00245.01,lightcurve_1597_KIC8478994.csv
198,7109675,K00872.01,lightcurve_1599_KIC7109675.csv
5205,7517261,K03496.01,lightcurve_1601_KIC7517261.csv
608,10426656,K01161.01,lightcurve_1603_KIC10426656.csv
334,8559644,K00139.01,lightcurve_1605_KIC8559644.csv
1715,6200235,K02350.01,lightcurve_1607_KIC6200235.csv
3072,9146018,K00584.01,lightcurve_1608_KIC9146018.csv
3285,7119481,K00566.01,lightcurve_160_KIC7119481.csv
2730,11508644,K03101.01,lightcurve_1611_KIC11508644.csv
978,11497958,K01422.01,lightcurve_1612_KIC11497958.csv
