pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_logg,st_rad,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandeperr1,pl_trandeperr2,pl_radeerr1,pl_radeerr2,pl_insolerr1,pl_insolerr2,pl_eqterr1,pl_eqterr2,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_dist,st_pmra,st_pmdec,tfopwg_disp
2.1805277,2.969175,16340.13532,16.808853,1770.465054,1654.404068,11.0657,6599.0,4.21017,1.2714601,2.7e-06,-2.7e-06,0.040721,-0.040721,426.89557,-426.89557,0.8821375,-0.8821375,,,,,0.006,-0.006,7.0655,-7.0655,200.0,-200.0,1.96411,-1.96411,0.0635578,-0.0635578,314.995,-8.568,-5.562,KP
2.1846669,2.86528,11708.02285,13.7028527,1362.138143,1549.44098,9.4995,5630.0,4.37759,1.23824,5e-07,-5e-07,0.0090748,-0.0090748,34.928566,-34.928566,0.6619751,-0.6619751,,,,,0.006,-0.006,0.7905,-0.7905,,,,,0.0596985,-0.0596985,137.544,91.976,-6.861,KP
3.7354838,4.142,17030.0,21.2315,1292.19,1670.0,11.0261,6650.0,4.1639,1.57,2.1e-06,-2.1e-06,0.045,-0.045,0.271732,-0.271732,1.19579,-1.19579,,,,,0.006,-0.006,8.6,-8.6,,,,,0.09,-0.09,405.908,-8.1,-9.639,KP
21.701669,8.2676424,211.6567325,2.3751494,52.095,685.2,7.1278,5625.0,4.438,1.56486,0.0095323,-0.0095323,0.5088978,-0.5088978,25.132692,-25.132692,0.6983451,-0.6983451,,,,,0.006,-0.006,,,80.0,-80.0,,,0.186629,-0.186629,53.19149,168.17,-56.04,FA
9.139804,3.0912936,358.4157801,3.0629855,243.011763,1006.993283,9.0197,5958.2,4.34,1.58,0.0001109,-0.0001109,0.6627002,-0.6627002,33.721474,-33.721474,2.8175755,-2.8175755,,,,,0.006,-0.006,0.5575,-0.5575,76.0,-76.0,0.12,-0.12,0.165123,-0.165123,129.804,-63.327,-1.942,CP
5.742625,2.860293,1105.760867,13.088532,,,8.8849,5664.0,3.26574,3.86959,0.000621,-0.000621,0.230499,-0.230499,87.92673,-87.92673,3.636668,-3.636668,,,,,0.006,-0.006,2.8735,-2.8735,188.0,-188.0,0.355261,-0.355261,0.644568,-0.644568,263.729,-18.692,-8.192,FP
15.5077855,4.565,513.0,2.43432,88.0718,853.0,8.4362,6122.0,4.30881,1.17,0.0002372,-0.0002372,0.427,-0.427,25.4443,-25.4443,0.142957,-0.142957,,,,,0.006,-0.006,0.28175,-0.28175,194.0,-194.0,0.268555,-0.268555,0.05,-0.05,88.4343,1.594,-15.903,CP
17.4713078,4.4284819,1199.754148,3.5766828,53.3700317,689.3568807,8.0888,5783.54,4.49925,0.974669,1.76e-05,-1.76e-05,0.0990118,-0.0990118,28.872627,-28.872627,0.2409907,-0.2409907,,,,,0.006,-0.006,0.18695,-0.18695,7.82429,-7.82429,0.019231,-0.019231,0.0546984,-0.0546984,57.2651,108.439,-82.632,CP
5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.986113,9.6663,6124.3,4.38,1.36963,1.91e-05,-1.91e-05,0.2920944,-0.2920944,26.766296,-26.766296,0.3630359,-0.3630359,,,,,0.006,-0.006,0.6765,-0.6765,83.0,-83.0,0.16,-0.16,0.0633668,-0.0633668,168.354,9.716,-20.168,PC
51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,9.4091,5599.0,4.46138,0.943356,0.0001962,-0.0001962,0.2877187,-0.2877187,36.121876,-36.121876,0.26575,-0.26575,,,,,0.006,-0.006,0.26725,-0.26725,187.0,-187.0,0.26998,-0.26998,0.0456583,-0.0456583,98.2855,117.721,-24.565,PC
